city,city_total
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
SILVER SPRING,193
